image,identity,age,scale,lighting,pose,background,expression,seed
A_1_0001.png,A_1,younger adult appearance,medium portrait framing,dim indoor lighting,frontal face,simple neutral indoor background,calm expression,2458971204
A_1_0002.png,A_1,older adult appearance,close-up portrait framing,bright indoor lighting,slightly turned to the left,natural outdoor background,neutral relaxed expression,3583173943
A_1_0003.png,A_1,slightly older adult appearance,medium portrait framing,soft daylight,slightly turned to the left,plain wall background,calm expression,1723219119
A_1_0004.png,A_1,older adult appearance,medium portrait framing,natural daylight,slightly turned to the right,simple neutral indoor background,neutral relaxed expression,2963915406
A_1_0005.png,A_1,older adult appearance,medium portrait framing,soft daylight,frontal face,softly blurred indoor background,neutral relaxed expression,730990743
A_1_0006.png,A_1,older adult appearance,medium portrait framing,bright indoor lighting,slightly turned to the right,plain wall background,subtle natural smile,4292100449
A_1_0007.png,A_1,younger adult appearance,slightly farther camera framing,warm indoor lighting,slightly turned to the right,subtle office background,calm expression,3738625797
A_1_0008.png,A_1,slightly younger adult appearance,close-up portrait framing,warm indoor lighting,slightly turned to the right,natural outdoor background,calm expression,681777786
A_1_0009.png,A_1,slightly younger adult appearance,slightly farther camera framing,soft daylight,slightly turned to the left,subtle office background,subtle natural smile,3600815136
A_1_0010.png,A_1,slightly younger adult appearance,slightly farther camera framing,warm indoor lighting,slightly turned to the right,simple neutral indoor background,neutral relaxed expression,3900895976
A_1_0011.png,A_1,current age appearance,close-up portrait framing,dim indoor lighting,slightly turned to the left,simple neutral indoor background,calm expression,3029599119
A_1_0012.png,A_1,slightly older adult appearance,medium portrait framing,soft daylight,slightly turned to the right,softly blurred indoor background,neutral relaxed expression,573786424
A_1_0013.png,A_1,current age appearance,close-up portrait framing,warm indoor lighting,slightly turned to the left,natural outdoor background,subtle natural smile,2544076571
A_1_0014.png,A_1,current age appearance,slightly farther camera framing,soft daylight,slightly turned to the right,subtle office background,neutral relaxed expression,132207562
A_1_0015.png,A_1,younger adult appearance,slightly farther camera framing,dim indoor lighting,slightly looking downward,plain wall background,calm expression,2415987192
A_1_0016.png,A_1,younger adult appearance,medium portrait framing,bright indoor lighting,slightly looking downward,subtle office background,neutral relaxed expression,4195993224
A_1_0017.png,A_1,younger adult appearance,close-up portrait framing,bright indoor lighting,slightly turned to the left,softly blurred indoor background,neutral relaxed expression,3022435547
A_1_0018.png,A_1,current age appearance,slightly farther camera framing,soft daylight,frontal face,softly blurred indoor background,neutral relaxed expression,3269398808
A_1_0019.png,A_1,slightly younger adult appearance,slightly farther camera framing,warm indoor lighting,slightly turned to the right,simple neutral indoor background,subtle natural smile,4191936833
A_1_0020.png,A_1,younger adult appearance,close-up portrait framing,soft daylight,slightly looking downward,subtle office background,neutral relaxed expression,3193377934
A_1_0021.png,A_1,younger adult appearance,medium portrait framing,natural daylight,slightly looking upward,simple neutral indoor background,calm expression,2377658612
A_1_0022.png,A_1,slightly younger adult appearance,slightly farther camera framing,soft daylight,slightly turned to the right,subtle office background,neutral relaxed expression,4145045692
